"observation","site_no","dateTime","water discharge","nitrite+nitrate","latitude","longitude","altitude"
"13979","04190000",2021-05-27,165,3.95,41.0414393,-84.2268905,687.09
"13980","04190000",2021-05-27,165,3.95,41.0414393,-84.2268905,687.09
"13981","04190000",2021-05-28,193,6.28,41.0414393,-84.2268905,687.09
"13982","04190000",2021-05-28,193,6.28,41.0414393,-84.2268905,687.09
"13983","04190000",2021-05-29,296,7.42,41.0414393,-84.2268905,687.09
"13984","04190000",2021-05-29,296,7.42,41.0414393,-84.2268905,687.09
"13985","04190000",2021-05-30,293,6.15,41.0414393,-84.2268905,687.09
"13986","04190000",2021-05-30,293,6.15,41.0414393,-84.2268905,687.09
"13987","04190000",2021-05-31,222,5.19,41.0414393,-84.2268905,687.09
"13988","04190000",2021-05-31,222,5.19,41.0414393,-84.2268905,687.09
"13989","04190000",2021-06-01,167,4.45,41.0414393,-84.2268905,687.09
"13990","04190000",2021-06-01,167,4.45,41.0414393,-84.2268905,687.09
"13991","04190000",2021-06-02,152,4.31,41.0414393,-84.2268905,687.09
"13992","04190000",2021-06-02,152,4.31,41.0414393,-84.2268905,687.09
"13993","04190000",2021-06-03,522,9.25,41.0414393,-84.2268905,687.09
"13994","04190000",2021-06-03,522,9.25,41.0414393,-84.2268905,687.09
"13995","04190000",2021-06-04,973,10.7,41.0414393,-84.2268905,687.09
"13996","04190000",2021-06-04,973,10.7,41.0414393,-84.2268905,687.09
"13997","04190000",2021-06-05,798,10.3,41.0414393,-84.2268905,687.09
"13998","04190000",2021-06-05,798,10.3,41.0414393,-84.2268905,687.09
"13999","04190000",2021-06-06,503,11.9,41.0414393,-84.2268905,687.09
"14000","04190000",2021-06-06,503,11.9,41.0414393,-84.2268905,687.09
"14001","04190000",2021-06-07,341,13.7,41.0414393,-84.2268905,687.09
"14002","04190000",2021-06-07,341,13.7,41.0414393,-84.2268905,687.09
"14003","04190000",2021-06-08,467,12.9,41.0414393,-84.2268905,687.09
"14004","04190000",2021-06-08,467,12.9,41.0414393,-84.2268905,687.09
"14005","04190000",2021-06-09,1740,10.2,41.0414393,-84.2268905,687.09
"14006","04190000",2021-06-09,1740,10.2,41.0414393,-84.2268905,687.09
"14007","04190000",2021-06-10,1650,8.29,41.0414393,-84.2268905,687.09
"14008","04190000",2021-06-10,1650,8.29,41.0414393,-84.2268905,687.09
"14009","04190000",2021-06-11,1090,8.94,41.0414393,-84.2268905,687.09
"14010","04190000",2021-06-11,1090,8.94,41.0414393,-84.2268905,687.09
"14011","04190000",2021-06-12,540,10.3,41.0414393,-84.2268905,687.09
"14012","04190000",2021-06-12,540,10.3,41.0414393,-84.2268905,687.09
"14013","04190000",2021-06-13,353,10.5,41.0414393,-84.2268905,687.09
"14014","04190000",2021-06-13,353,10.5,41.0414393,-84.2268905,687.09
"14015","04190000",2021-06-14,263,9.06,41.0414393,-84.2268905,687.09
"14016","04190000",2021-06-14,263,9.06,41.0414393,-84.2268905,687.09
"14017","04190000",2021-06-15,214,7.61,41.0414393,-84.2268905,687.09
"14018","04190000",2021-06-15,214,7.61,41.0414393,-84.2268905,687.09
"14019","04190000",2021-06-16,172,6.42,41.0414393,-84.2268905,687.09
"14020","04190000",2021-06-16,172,6.42,41.0414393,-84.2268905,687.09
"14021","04190000",2021-06-17,145,5.43,41.0414393,-84.2268905,687.09
"14022","04190000",2021-06-17,145,5.43,41.0414393,-84.2268905,687.09
"14023","04190000",2021-06-18,144,5.04,41.0414393,-84.2268905,687.09
"14024","04190000",2021-06-18,144,5.04,41.0414393,-84.2268905,687.09
"14025","04190000",2021-06-19,232,5.48,41.0414393,-84.2268905,687.09
"14026","04190000",2021-06-19,232,5.48,41.0414393,-84.2268905,687.09
"14027","04190000",2021-06-20,293,5.62,41.0414393,-84.2268905,687.09
"14028","04190000",2021-06-20,293,5.62,41.0414393,-84.2268905,687.09
"14029","04190000",2021-06-21,296,4.77,41.0414393,-84.2268905,687.09
"14030","04190000",2021-06-21,296,4.77,41.0414393,-84.2268905,687.09
"14031","04190000",2021-06-22,296,4.14,41.0414393,-84.2268905,687.09
"14032","04190000",2021-06-22,296,4.14,41.0414393,-84.2268905,687.09
"14033","04190000",2021-06-23,266,3.8,41.0414393,-84.2268905,687.09
"14034","04190000",2021-06-23,266,3.8,41.0414393,-84.2268905,687.09
"14035","04190000",2021-06-24,195,3.6,41.0414393,-84.2268905,687.09
"14036","04190000",2021-06-24,195,3.6,41.0414393,-84.2268905,687.09
"14037","04190000",2021-06-25,141,3.46,41.0414393,-84.2268905,687.09
"14038","04190000",2021-06-25,141,3.46,41.0414393,-84.2268905,687.09
"14039","04190000",2021-06-26,121,3.38,41.0414393,-84.2268905,687.09
"14040","04190000",2021-06-26,121,3.38,41.0414393,-84.2268905,687.09
"14041","04190000",2021-06-27,112,3.35,41.0414393,-84.2268905,687.09
"14042","04190000",2021-06-27,112,3.35,41.0414393,-84.2268905,687.09
"14043","04190000",2021-06-28,111,3.38,41.0414393,-84.2268905,687.09
"14044","04190000",2021-06-28,111,3.38,41.0414393,-84.2268905,687.09
"14045","04190000",2021-06-29,598,4.27,41.0414393,-84.2268905,687.09
"14046","04190000",2021-06-29,598,4.27,41.0414393,-84.2268905,687.09
"14047","04190000",2021-06-30,646,8.94,41.0414393,-84.2268905,687.09
"14048","04190000",2021-06-30,646,8.94,41.0414393,-84.2268905,687.09
"14049","04190000",2021-07-01,638,8.34,41.0414393,-84.2268905,687.09
"14050","04190000",2021-07-01,638,8.34,41.0414393,-84.2268905,687.09
"14051","04190000",2021-07-02,647,9.21,41.0414393,-84.2268905,687.09
"14052","04190000",2021-07-02,647,9.21,41.0414393,-84.2268905,687.09
"14053","04190000",2021-07-03,437,8.52,41.0414393,-84.2268905,687.09
"14054","04190000",2021-07-03,437,8.52,41.0414393,-84.2268905,687.09
"14055","04190000",2021-07-04,279,7.63,41.0414393,-84.2268905,687.09
"14056","04190000",2021-07-04,279,7.63,41.0414393,-84.2268905,687.09
"14057","04190000",2021-07-05,195,6.93,41.0414393,-84.2268905,687.09
"14058","04190000",2021-07-05,195,6.93,41.0414393,-84.2268905,687.09
"14059","04190000",2021-07-06,142,6.38,41.0414393,-84.2268905,687.09
"14060","04190000",2021-07-06,142,6.38,41.0414393,-84.2268905,687.09
"14061","04190000",2021-07-07,109,5.85,41.0414393,-84.2268905,687.09
"14062","04190000",2021-07-07,109,5.85,41.0414393,-84.2268905,687.09
"14063","04190000",2021-07-08,89.4,5.33,41.0414393,-84.2268905,687.09
"14064","04190000",2021-07-08,89.4,5.33,41.0414393,-84.2268905,687.09
"14065","04190000",2021-07-09,88.9,4.85,41.0414393,-84.2268905,687.09
"14066","04190000",2021-07-09,88.9,4.85,41.0414393,-84.2268905,687.09
"14067","04190000",2021-07-10,201,4.46,41.0414393,-84.2268905,687.09
"14068","04190000",2021-07-10,201,4.46,41.0414393,-84.2268905,687.09
"14069","04190000",2021-07-11,209,4.1,41.0414393,-84.2268905,687.09
"14070","04190000",2021-07-11,209,4.1,41.0414393,-84.2268905,687.09
"14071","04190000",2021-07-12,267,3.83,41.0414393,-84.2268905,687.09
"14072","04190000",2021-07-12,267,3.83,41.0414393,-84.2268905,687.09
"14073","04190000",2021-07-13,216,3.7,41.0414393,-84.2268905,687.09
"14074","04190000",2021-07-13,216,3.7,41.0414393,-84.2268905,687.09
"14075","04190000",2021-07-14,333,4.01,41.0414393,-84.2268905,687.09
"14076","04190000",2021-07-14,333,4.01,41.0414393,-84.2268905,687.09
"14077","04190000",2021-07-15,368,4.08,41.0414393,-84.2268905,687.09
"14078","04190000",2021-07-15,368,4.08,41.0414393,-84.2268905,687.09
"14079","04190000",2021-07-16,406,4.08,41.0414393,-84.2268905,687.09
"14080","04190000",2021-07-16,406,4.08,41.0414393,-84.2268905,687.09
"14081","04190000",2021-07-17,3100,4.9,41.0414393,-84.2268905,687.09
"14082","04190000",2021-07-17,3100,4.9,41.0414393,-84.2268905,687.09
"14083","04190000",2021-07-18,3650,5.1,41.0414393,-84.2268905,687.09
"14084","04190000",2021-07-18,3650,5.1,41.0414393,-84.2268905,687.09
"14085","04190000",2021-07-19,3660,5.37,41.0414393,-84.2268905,687.09
"14086","04190000",2021-07-19,3660,5.37,41.0414393,-84.2268905,687.09
"14087","04190000",2021-07-20,2290,5.52,41.0414393,-84.2268905,687.09
"14088","04190000",2021-07-20,2290,5.52,41.0414393,-84.2268905,687.09
"14089","04190000",2021-07-21,751,6.32,41.0414393,-84.2268905,687.09
"14090","04190000",2021-07-21,751,6.32,41.0414393,-84.2268905,687.09
"14091","04190000",2021-07-22,364,5.64,41.0414393,-84.2268905,687.09
"14092","04190000",2021-07-22,364,5.64,41.0414393,-84.2268905,687.09
"14093","04190000",2021-07-23,258,5.05,41.0414393,-84.2268905,687.09
"14094","04190000",2021-07-23,258,5.05,41.0414393,-84.2268905,687.09
"14095","04190000",2021-07-24,241,4.53,41.0414393,-84.2268905,687.09
"14096","04190000",2021-07-24,241,4.53,41.0414393,-84.2268905,687.09
"14097","04190000",2021-07-25,196,4.11,41.0414393,-84.2268905,687.09
"14098","04190000",2021-07-25,196,4.11,41.0414393,-84.2268905,687.09
"14099","04190000",2021-07-26,157,3.7,41.0414393,-84.2268905,687.09
"14100","04190000",2021-07-26,157,3.7,41.0414393,-84.2268905,687.09
"14101","04190000",2021-07-27,132,3.31,41.0414393,-84.2268905,687.09
"14102","04190000",2021-07-27,132,3.31,41.0414393,-84.2268905,687.09
"14103","04190000",2021-07-28,110,3.04,41.0414393,-84.2268905,687.09
"14104","04190000",2021-07-28,110,3.04,41.0414393,-84.2268905,687.09
"14105","04190000",2021-07-29,96.1,2.79,41.0414393,-84.2268905,687.09
"14106","04190000",2021-07-29,96.1,2.79,41.0414393,-84.2268905,687.09
"14107","04190000",2021-07-30,81.4,2.54,41.0414393,-84.2268905,687.09
"14108","04190000",2021-07-30,81.4,2.54,41.0414393,-84.2268905,687.09
"14109","04190000",2021-07-31,77.3,2.32,41.0414393,-84.2268905,687.09
"14110","04190000",2021-07-31,77.3,2.32,41.0414393,-84.2268905,687.09
"14111","04190000",2021-08-01,74.4,2.11,41.0414393,-84.2268905,687.09
"14112","04190000",2021-08-01,74.4,2.11,41.0414393,-84.2268905,687.09
"14113","04190000",2021-08-02,66.9,1.91,41.0414393,-84.2268905,687.09
"14114","04190000",2021-08-02,66.9,1.91,41.0414393,-84.2268905,687.09
"14115","04190000",2021-08-03,67.5,1.71,41.0414393,-84.2268905,687.09
"14116","04190000",2021-08-03,67.5,1.71,41.0414393,-84.2268905,687.09
"14117","04190000",2021-08-04,63.3,1.54,41.0414393,-84.2268905,687.09
"14118","04190000",2021-08-04,63.3,1.54,41.0414393,-84.2268905,687.09
"14119","04190000",2021-08-05,56.4,1.38,41.0414393,-84.2268905,687.09
"14120","04190000",2021-08-05,56.4,1.38,41.0414393,-84.2268905,687.09
"14121","04190000",2021-08-06,50.6,1.25,41.0414393,-84.2268905,687.09
"14122","04190000",2021-08-06,50.6,1.25,41.0414393,-84.2268905,687.09
"14123","04190000",2021-08-07,50.2,1.14,41.0414393,-84.2268905,687.09
"14124","04190000",2021-08-07,50.2,1.14,41.0414393,-84.2268905,687.09
"14125","04190000",2021-08-08,47,1.06,41.0414393,-84.2268905,687.09
"14126","04190000",2021-08-08,47,1.06,41.0414393,-84.2268905,687.09
"14127","04190000",2021-08-09,46.1,0.979,41.0414393,-84.2268905,687.09
"14128","04190000",2021-08-09,46.1,0.979,41.0414393,-84.2268905,687.09
"14129","04190000",2021-08-10,62.4,1.01,41.0414393,-84.2268905,687.09
"14130","04190000",2021-08-10,62.4,1.01,41.0414393,-84.2268905,687.09
"14131","04190000",2021-08-11,95.8,1.37,41.0414393,-84.2268905,687.09
"14132","04190000",2021-08-11,95.8,1.37,41.0414393,-84.2268905,687.09
